省辖市代码,省份,年份,互联网上网人数 (万人),域名数 (万个),网站数 (万个),网页数 (万个),互联网宽带接入端口 (万个),互联网拨号用户 (万户),互联网宽带接入用户 (万户),城市宽带接入用户 (万户),农村宽带接入用户 (万户),移动互联网用户 (万户),移动互联网接入流量 (万GB)
130000000000,河北省,2017,,63.76,13.15,1054868.59,4126.9,0.0,1910.1,1189.1,721.0,6211.8,102527.73
130000000000,河北省,2016,3956.0,74.94,12.66,872714.72,3841.1,0.0,1612.0,1040.0,572.1,5518.33,37107.75
140000000000,山西省,2025,,,,,,,,,,,
140000000000,山西省,2024,,42.07,,451709.35,2922.9,,1733.9,1417.8,316.1,3822.9,667633.76
140000000000,山西省,2023,,34.8,,436562.0,2828.3,,1605.1,1320.3,284.9,3721.2,617431.8
140000000000,山西省,2022,,30.84,,405285.39,2760.2,,1470.6,1209.6,261.0,3463.32,539706.43
140000000000,山西省,2021,,34.92,,358371.02,2478.7,,1350.4,1098.4,252.0,3325.81,486348.03
140000000000,山西省,2020,,82.79,,332355.46,2322.3,,1252.1,1018.5,233.6,3266.29,365455.13
140000000000,山西省,2019,,82.06,,383103.87,2148.2,,1126.1,909.2,216.9,3142.31,269032.06
140000000000,山西省,2018,,107.56,5.71,294992.3,1989.2,,991.0,794.3,196.7,3086.33,145721.07
140000000000,山西省,2017,,24.45,5.5,327970.87,1840.1,3.4,872.9,687.1,185.8,2956.15,49212.86
140000000000,山西省,2016,2035.0,23.9,5.32,427968.4,1582.9,3.4,747.2,626.5,120.7,2485.33,16817.84
150000000000,内蒙古自治区,2025,,,,,,,,,,,
150000000000,内蒙古自治区,2024,,14.08,,25586.63,1882.2,,978.8,846.0,132.8,2661.2,537156.74
150000000000,内蒙古自治区,2023,,12.2,,24420.2,1792.7,,948.5,826.7,121.8,2661.5,503971.3
150000000000,内蒙古自治区,2022,,16.37,,22453.99,1739.0,,868.0,777.5,90.5,2577.01,439809.93
150000000000,内蒙古自治区,2021,,12.4,,20150.3,1750.1,,796.2,701.5,94.7,2665.19,405069.15
150000000000,内蒙古自治区,2020,,19.52,,19546.16,1441.3,,722.9,635.7,87.3,2574.26,326112.35
150000000000,内蒙古自治区,2019,,27.91,,18453.45,1372.7,,682.5,594.8,87.7,2606.15,244419.26
150000000000,内蒙古自治区,2018,,12.24,1.6,15460.5,1358.4,,628.3,531.9,96.4,2508.06,142977.45
150000000000,内蒙古自治区,2017,,9.93,1.73,13474.66,1294.1,0.0,494.0,390.5,103.5,2360.27,44887.32
150000000000,内蒙古自治区,2016,1311.0,10.75,1.55,14108.62,1200.7,,417.2,319.9,97.3,2045.16,12852.62
210000000000,辽宁省,2025,,,,,,,,,,,
210000000000,辽宁省,2024,,50.56,,368477.76,3852.6,,1783.8,1542.7,241.0,4525.4,755874.21
210000000000,辽宁省,2023,,36.3,,349035.4,3720.7,,1689.8,1472.6,217.2,4475.9,665842.9
210000000000,辽宁省,2022,,37.66,,327083.7,3444.3,,1569.8,1384.0,185.8,4462.64,580144.67
210000000000,辽宁省,2021,,42.51,,302075.97,3274.0,,1464.9,1295.9,169.1,3994.08,539901.39
210000000000,辽宁省,2020,,79.51,,281983.49,3305.2,,1331.2,1254.3,77.0,3921.8,402866.6
210000000000,辽宁省,2019,,96.19,,219863.34,3270.7,,1230.4,1101.9,128.5,4062.3,308539.76
210000000000,辽宁省,2018,,64.72,11.4,177231.67,3240.3,,1136.0,922.5,213.5,3905.94,190081.05
210000000000,辽宁省,2017,,47.5,12.33,209977.09,3118.8,16.7,1058.6,844.9,213.7,3936.77,86655.41
210000000000,辽宁省,2016,2741.0,59.3,11.84,171138.96,3239.5,16.8,971.7,751.1,220.6,3529.83,43747.56
220000000000,吉林省,2025,,,,,,,,,,,
220000000000,吉林省,2024,,19.3,,213819.02,1952.7,,919.0,737.6,181.4,2659.7,546367.64
220000000000,吉林省,2023,,16.8,,210693.6,1923.9,,850.8,687.1,163.7,2547.1,459703.8
220000000000,吉林省,2022,,17.46,,204574.05,1830.9,,779.2,634.5,144.6,2429.8,387109.15
220000000000,吉林省,2021,,21.61,,195089.31,1743.1,,734.2,615.1,119.1,2454.55,347825.4
220000000000,吉林省,2020,,55.81,,189554.05,1651.2,,654.2,541.6,112.6,2445.03,282103.49
220000000000,吉林省,2019,,62.67,,205284.58,1686.6,,618.3,521.8,96.5,2304.81,219168.02
220000000000,吉林省,2018,,37.09,3.5,180765.88,1526.7,,588.2,493.9,94.3,2366.22,135590.42
220000000000,吉林省,2017,,24.64,3.33,152993.97,1761.1,4.7,501.5,426.5,75.0,2349.58,65368.95
220000000000,吉林省,2016,1402.0,20.46,2.74,140826.91,1560.7,4.8,440.0,385.1,54.9,2029.74,35625.11
230000000000,黑龙江省,2025,,,,,,,,,,,
230000000000,黑龙江省,2024,,27.16,,215371.47,2231.5,,1271.9,996.0,276.0,3287.2,601046.62
230000000000,黑龙江省,2023,,26.5,,199769.5,2207.7,,1211.0,952.4,258.6,3229.4,472928.9
230000000000,黑龙江省,2022,,23.13,,180265.96,2198.6,,1130.4,936.4,194.0,3136.9,383908.91
230000000000,黑龙江省,2021,,25.11,,168148.92,2260.4,,1013.5,830.8,182.7,3093.93,316292.94
230000000000,黑龙江省,2020,,53.61,,148050.9,2127.5,,886.3,722.1,164.2,2980.34,249445.27
230000000000,黑龙江省,2019,,56.03,,184494.23,2181.1,,848.3,580.6,267.6,2901.75,196893.92
230000000000,黑龙江省,2018,,28.1,4.3,205114.92,2113.2,,810.7,569.5,241.1,2894.93,120181.46
230000000000,黑龙江省,2017,,20.11,4.3,258253.19,1937.2,7.9,664.6,513.8,150.8,2858.68,56155.48
230000000000,黑龙江省,2016,1835.0,23.69,4.04,208860.41,1964.9,7.9,575.0,485.5,89.6,2510.91,20813.27
310000000000,上海市,2025,,,,,,,,,,,
310000000000,上海市,2024,,140.04,,2804645.63,2768.1,,1300.6,1260.4,40.3,4028.2,660997.17
310000000000,上海市,2023,,121.2,,2694852.8,2560.5,,1205.5,1173.2,32.3,3877.9,546309.7
310000000000,上海市,2022,,130.26,,2553669.42,2536.8,,1071.2,1052.8,18.4,3680.07,463500.04
310000000000,上海市,2021,,148.42,,2380356.14,2340.4,,995.4,988.6,6.9,3616.6,421262.08
310000000000,上海市,2020,,140.69,,2239088.15,2322.0,,919.0,916.2,2.7,3365.7,309548.05
310000000000,上海市,2019,,138.88,,2117050.09,2028.6,,890.1,888.7,1.4,3197.44,231299.8
310000000000,上海市,2018,,147.45,37.82,2069686.32,1871.8,,772.9,772.9,,3032.0,134846.76
310000000000,上海市,2017,,240.56,41.46,1892366.42,1810.2,0.0,681.3,681.3,,3393.14,48162.73
310000000000,上海市,2016,1791.0,263.21,10.0,1661722.83,1595.7,0.0,635.7,635.7,,2662.29,21073.45
320000000000,江苏省,2025,,,,,,,,,,,
320000000000,江苏省,2024,,255.41,,1751963.78,8011.6,,4891.3,3391.4,1499.9,9520.4,2010124.88
320000000000,江苏省,2023,,123.3,,1676782.0,8009.1,,4754.6,3207.7,1546.9,9386.5,2003868.2
320000000000,江苏省,2022,,150.73,,1572148.53,7705.0,,4451.6,3004.3,1447.3,9039.37,1700147.19
320000000000,江苏省,2021,,172.46,,1491443.58,7464.3,,4071.6,2510.9,1560.7,8753.62,1460513.26
320000000000,江苏省,2020,,206.74,,1416309.58,7224.9,,3756.8,2340.4,1416.4,8428.67,1090420.06
320000000000,江苏省,2019,,242.54,,1438429.11,7249.0,,3585.7,2217.5,1368.3,8452.6,852332.98
320000000000,江苏省,2018,,188.35,28.66,1378142.3,7131.5,,3351.9,2107.5,1244.4,7979.54,514026.66
320000000000,江苏省,2017,,161.61,28.93,1291048.09,6531.7,3.7,3106.1,1953.2,1152.9,9257.65,178112.06
320000000000,江苏省,2016,4513.0,173.24,25.41,1341772.75,5676.8,3.9,2685.2,1682.3,1002.9,7436.86,70635.99
330000000000,浙江省,2025,,,,,,,,,,,
330000000000,浙江省,2024,,128.98,,4790259.24,8332.3,,3767.4,2249.4,1517.9,8224.0,1863729.28
330000000000,浙江省,2023,,120.1,,4582769.1,6952.9,,3608.5,2094.7,1513.8,8016.0,1868939.9
330000000000,浙江省,2022,,128.3,,4280170.88,6458.7,,3400.1,2178.2,1221.9,7694.25,1607255.03
330000000000,浙江省,2021,,130.81,,3991027.27,6237.8,,3117.0,2191.8,925.3,7483.37,1360931.74
330000000000,浙江省,2020,,167.5,,3704249.3,6031.5,,2938.8,2046.1,892.7,7041.06,1011058.1
330000000000,浙江省,2019,,184.01,,3552363.33,6284.4,,2778.9,1856.4,922.5,7047.0,762041.2
330000000000,浙江省,2018,,149.19,41.73,3354070.94,5971.0,,2653.8,1751.5,902.3,6833.64,429803.0
330000000000,浙江省,2017,,207.56,40.03,3316217.12,5455.1,29.6,2464.6,1860.4,604.2,7456.25,150822.8
330000000000,浙江省,2016,3632.0,336.16,33.59,2827740.82,4720.6,29.8,2159.7,1664.5,495.2,6366.29,63212.58
340000000000,安徽省,2025,,,,,,,,,,,
340000000000,安徽省,2024,,70.95,,327298.26,5212.9,,3181.6,2069.9,1111.7,5969.9,1215269.67
340000000000,安徽省,2023,,73.8,,322125.2,4696.1,,2947.1,1903.2,1043.9,5763.1,1122600.7
340000000000,安徽省,2022,,98.39,,309288.71,4242.2,,2666.6,1720.8,945.9,5444.24,963562.03
340000000000,安徽省,2021,,133.43,,289242.52,3889.0,,2335.8,1409.0,926.8,5276.7,822893.39
340000000000,安徽省,2020,,154.83,,275910.12,3543.7,,2093.0,1290.9,802.1,5010.47,614702.34
340000000000,安徽省,2019,,151.36,,351206.52,3481.3,,1864.7,1158.8,705.9,4790.84,462271.88
340000000000,安徽省,2018,,90.47,8.68,319693.7,3374.0,,1662.4,1022.1,640.4,4596.33,251826.2
340000000000,安徽省,2017,,72.15,8.05,206187.63,2872.2,19.4,1323.7,900.8,422.8,4639.68,85024.93
340000000000,安徽省,2016,2721.0,74.54,6.82,220360.09,2527.3,19.4,1075.0,774.4,300.7,4179.9,36624.11
350000000000,福建省,2025,,,,,,,,,,,
350000000000,福建省,2024,,119.2,,1250834.28,4056.6,,2266.5,1439.6,826.9,4540.4,829527.27
350000000000,福建省,2023,,204.3,,1160896.9,3833.2,,2261.2,1436.4,824.8,4433.9,791942.4
350000000000,福建省,2022,,404.97,,1038339.87,3726.2,,2145.3,1382.5,762.8,4281.84,717300.23
350000000000,福建省,2021,,433.07,,945975.89,3546.6,,1985.1,1383.8,601.4,4146.55,606821.92
350000000000,福建省,2020,,324.9,,887671.86,3370.0,,1831.0,1253.5,577.6,3979.6,459695.0
350000000000,福建省,2019,,695.12,,709222.29,3232.1,,1779.0,990.5,788.5,3915.76,356052.37
350000000000,福建省,2018,,736.37,27.99,812747.66,3245.0,,1629.1,1061.1,568.0,3793.55,209900.32
350000000000,福建省,2017,,882.49,30.28,827546.34,2861.8,0.0,1373.6,913.6,460.0,3508.76,71383.34
350000000000,福建省,2016,2678.0,509.59,28.59,703105.38,2482.3,0.1,1144.6,788.0,356.6,3267.49,30358.89
360000000000,江西省,2025,,,,,,,,,,,
360000000000,江西省,2024,,75.23,,306269.35,3096.5,,2194.4,1504.9,689.5,4271.4,897496.5
360000000000,江西省,2023,,44.9,,297612.3,2834.5,,2091.3,1440.8,650.5,4173.6,809621.3
360000000000,江西省,2022,,48.18,,283554.82,2705.3,,1958.3,1337.7,620.5,3974.73,699654.35
360000000000,江西省,2021,,57.26,,267565.52,2642.3,,1700.2,1143.4,556.8,3855.94,581623.67
360000000000,江西省,2020,,130.67,,254496.39,2532.9,,1510.5,992.0,518.5,3599.26,429567.38
360000000000,江西省,2019,,156.68,,216169.97,2369.5,,1448.8,987.9,460.9,3506.44,326224.79
360000000000,江西省,2018,,77.1,4.97,208694.32,2032.7,,1323.4,908.1,415.3,3340.8,173557.28
360000000000,江西省,2017,,33.23,4.41,212189.27,1985.9,0.7,997.1,687.8,309.3,3079.28,57687.94
360000000000,江西省,2016,2035.0,38.5,3.72,227629.09,2055.6,0.8,822.5,578.5,244.0,2602.79,22665.96
370000000000,山东省,2025,,,,,,,,,,,
370000000000,山东省,2024,,211.51,,783947.96,7959.0,,4844.2,3646.6,1197.6,10579.0,2085958.72
370000000000,山东省,2023,,151.5,,742282.6,7657.3,,4581.9,3403.4,1178.5,10421.4,1875046.5
370000000000,山东省,2022,,173.13,,695905.15,7438.5,,4264.7,3116.8,1147.9,9770.61,1554418.53
370000000000,山东省,2021,,193.44,,645152.38,7037.0,,3863.7,2736.1,1127.6,9367.97,1256955.86
370000000000,山东省,2020,,181.99,,598847.19,6756.8,,3445.6,2374.7,1070.9,8761.31,857508.76
370000000000,山东省,2019,,177.31,,584439.89,6915.2,,3186.1,2169.1,1017.0,8855.06,647314.58
370000000000,山东省,2018,,151.66,31.73,525752.0,6312.3,,2884.8,1933.5,951.3,8418.57,383441.08
370000000000,山东省,2017,,119.65,31.23,502119.68,5596.9,38.8,2588.7,1744.1,844.6,8507.99,118818.08
370000000000,山东省,2016,5207.0,172.07,27.28,446928.69,4680.0,39.8,2366.5,1637.3,729.3,7391.24,39890.0
410000000000,河南省,2025,,,,,,,,,,,
410000000000,河南省,2024,,114.23,,2320846.28,6877.8,,4404.0,3140.1,1263.9,9945.7,2346573.51
410000000000,河南省,2023,,91.9,,2275317.8,6624.9,,4260.6,3044.1,1216.4,9729.6,1979683.0
410000000000,河南省,2022,,94.2,,2167118.39,6228.6,,3934.8,2825.2,1109.6,9400.9,1672922.14
410000000000,河南省,2021,,130.08,,2009360.23,5631.0,,3505.8,2508.0,997.8,9136.57,1378721.97
410000000000,河南省,2020,,273.05,,1866487.98,4934.5,,3090.9,2189.2,901.7,8748.71,946343.42
410000000000,河南省,2019,,313.52,,1478915.23,4752.8,,2769.2,1986.1,783.1,8245.69,685946.38
410000000000,河南省,2018,,207.48,24.89,1310626.71,4780.8,,2503.9,1774.2,729.7,7766.49,434883.94
410000000000,河南省,2017,,123.18,23.54,1187272.57,4475.8,,2128.4,1535.6,592.8,7542.45,134407.23
410000000000,河南省,2016,4110.0,117.75,20.04,1090153.93,4345.8,,1767.2,1274.5,492.8,6378.26,43678.61
420000000000,湖北省,2025,,,,,,,,,,,
420000000000,湖北省,2024,,87.36,,343381.0,4601.5,,2665.5,1854.3,811.2,5784.5,1168011.43
420000000000,湖北省,2023,,67.7,,335315.9,4431.3,,2494.2,1736.3,757.9,5465.5,999160.1
420000000000,湖北省,2022,,67.03,,323635.9,4066.2,,2290.8,1590.0,700.8,5195.23,864835.45
420000000000,湖北省,2021,,85.93,,305096.95,3667.8,,2081.3,1435.1,646.3,5041.08,712007.78
420000000000,湖北省,2020,,180.39,,292523.08,3221.4,,1870.2,1299.9,570.3,4789.67,506671.9
420000000000,湖北省,2019,,206.33,,199019.27,3062.3,,1708.3,1208.6,499.7,4635.62,382653.42
420000000000,湖北省,2018,,106.21,12.28,156806.08,2961.3,,1480.7,1074.2,406.6,4551.95,217677.65
420000000000,湖北省,2017,,78.97,11.66,189036.05,2605.5,12.7,1242.9,979.5,263.4,4116.39,74503.95
420000000000,湖北省,2016,3009.0,101.96,10.11,229188.82,2594.7,13.1,1131.9,950.6,181.3,3639.94,30269.66
430000000000,湖南省,2025,,,,,,,,,,,
430000000000,湖南省,2024,,94.56,,231575.96,4435.4,,2927.2,1956.9,970.2,7009.1,1757359.9
430000000000,湖南省,2023,,78.2,,219464.9,4181.6,,2744.1,1846.7,897.4,6692.6,1430400.0
430000000000,湖南省,2022,,74.84,,203299.42,3728.0,,2475.1,1656.7,818.4,6155.69,1180829.82
430000000000,湖南省,2021,,99.41,,188204.21,3513.0,,2323.0,1546.3,776.7,6026.18,953748.19
430000000000,湖南省,2020,,184.81,,175974.86,3242.4,,2113.2,1411.5,701.6,5771.21,708985.78
430000000000,湖南省,2019,,250.15,,140563.19,2997.9,,1873.8,1228.3,645.5,5489.68,491368.22
430000000000,湖南省,2018,,122.28,9.53,127461.87,2821.1,,1635.3,1115.1,520.2,5226.59,266950.44
430000000000,湖南省,2017,,112.45,8.76,152334.94,2436.0,,1315.5,941.4,374.0,4922.45,76087.16
430000000000,湖南省,2016,3013.0,137.19,7.28,214524.1,2395.3,0.1,1066.9,820.7,246.1,4350.73,30151.06
440000000000,广东省,2025,,,,,,,,,,,
440000000000,广东省,2024,,586.79,,5091322.75,10664.2,,5049.5,3893.7,1155.9,16572.9,3710384.36
440000000000,广东省,2023,,769.3,,4865059.9,10395.2,,4824.0,3704.2,1119.7,15814.7,3431672.7
440000000000,广东省,2022,,543.84,,4617085.49,9892.2,,4628.7,3529.1,1099.6,15097.28,2956007.26
440000000000,广东省,2021,,496.71,,4369013.97,9333.7,,4277.7,3243.7,1034.1,15070.27,2466758.8
440000000000,广东省,2020,,534.68,,4167613.49,8653.2,,3890.0,2873.0,1017.0,14251.39,1840549.2
440000000000,广东省,2019,,611.84,,4058047.0,8538.0,,3801.6,2871.6,930.1,14200.29,1379370.96
440000000000,广东省,2018,,449.03,72.76,3806253.38,8149.1,,3597.8,2970.5,627.3,14106.94,845841.16
440000000000,广东省,2017,,397.87,77.75,3274458.19,6482.3,68.8,3246.8,2635.0,611.8,14160.35,328666.06
440000000000,广东省,2016,8024.0,556.57,72.82,2960763.61,6515.6,69.3,2779.4,2213.1,566.3,11518.43,126199.37
450000000000,广西壮族自治区,2025,,,,,,,,,,,
450000000000,广西壮族自治区,2024,,69.33,,286850.45,4191.1,,2507.2,1421.9,1085.2,5493.6,1135764.52
450000000000,广西壮族自治区,2023,,52.6,,273983.0,4099.3,,2315.4,1327.2,988.3,5450.6,1070320.8
450000000000,广西壮族自治区,2022,,54.11,,260835.14,3836.1,,2054.2,1174.3,879.9,5177.85,961177.09
450000000000,广西壮族自治区,2021,,66.31,,245321.29,3579.2,,1827.4,1043.9,783.6,5011.41,793747.98
450000000000,广西壮族自治区,2020,,112.06,,232770.97,3356.2,,1650.8,950.2,700.7,4799.26,602045.7
450000000000,广西壮族自治区,2019,,125.26,,183265.34,3023.0,,1447.4,845.9,601.5,4450.21,422040.45
450000000000,广西壮族自治区,2018,,52.67,5.28,163749.2,2760.1,,1230.6,754.8,475.8,4130.82,228728.84
450000000000,广西壮族自治区,2017,,52.89,5.03,126896.05,2216.4,7.3,968.0,671.8,296.2,3713.35,63282.72
450000000000,广西壮族自治区,2016,2213.0,52.23,4.33,89894.5,2094.9,7.5,790.0,600.8,189.2,3163.9,21703.0
460000000000,海南省,2025,,,,,,,,,,,
460000000000,海南省,2024,,19.87,,191869.99,1192.0,,609.3,360.0,249.3,1139.4,334558.28
460000000000,海南省,2023,,13.2,,191580.7,1142.5,,578.1,344.6,233.5,1094.0,282405.3
460000000000,海南省,2022,,14.63,,191066.96,1044.7,,508.2,303.4,204.8,1044.41,224719.83
460000000000,海南省,2021,,17.47,,151407.59,1096.0,,450.2,307.8,142.4,989.43,183155.8
460000000000,海南省,2020,,41.77,,141858.75,852.3,,351.5,240.3,111.2,963.97,137800.8
460000000000,海南省,2019,,64.19,,111425.81,794.1,,323.2,223.5,99.7,931.51,100444.17
460000000000,海南省,2018,,28.4,2.65,86290.06,726.1,,279.1,196.5,82.6,913.96,61944.18
460000000000,海南省,2017,,38.59,2.53,84745.13,571.6,0.0,228.7,149.1,79.6,911.7,22937.82
460000000000,海南省,2016,470.0,14.66,1.81,162293.3,522.9,,186.5,126.3,60.1,816.6,7543.87
500000000000,重庆市,2025,,,,,,,,,,,
500000000000,重庆市,2024,,47.78,,63505.56,3086.9,,1609.4,1166.5,442.9,3771.8,828157.38
500000000000,重庆市,2023,,38.9,,61855.7,2744.5,,1552.8,1121.9,430.8,3686.1,736887.7
500000000000,重庆市,2022,,37.96,,59355.24,2668.9,,1461.5,1054.8,406.7,3448.03,645971.71
500000000000,重庆市,2021,,54.5,,54932.16,2612.1,,1338.5,984.3,354.3,3288.5,543353.62
500000000000,重庆市,2020,,86.57,,52792.39,2368.8,,1228.4,975.4,253.0,3117.18,383996.86
500000000000,重庆市,2019,,81.2,,56434.79,2318.2,,1164.0,920.4,243.6,3016.09,300096.63
500000000000,重庆市,2018,,46.65,5.58,50562.14,2245.7,,1070.1,854.4,215.8,2862.24,169556.6
500000000000,重庆市,2017,,43.77,5.46,77438.75,1935.2,0.0,866.9,661.4,205.5,2831.58,54842.79
500000000000,重庆市,2016,1556.0,52.83,5.14,122479.51,1643.6,0.0,704.7,567.6,137.1,2556.02,21221.35
510000000000,四川省,2025,,,,,,,,,,,
510000000000,四川省,2024,,116.78,,672277.17,7135.7,,3941.4,2287.9,1653.5,9339.0,2001039.91
510000000000,四川省,2023,,97.1,,651455.0,6732.5,,3767.8,2190.8,1577.0,8843.1,1739903.7
510000000000,四川省,2022,,140.19,,615603.82,6434.0,,3566.1,2012.9,1553.2,8400.37,1475416.64
510000000000,四川省,2021,,126.21,,573811.59,6708.5,,3220.9,2013.9,1207.0,7990.76,1256513.86
510000000000,四川省,2020,,219.03,,546960.0,6284.7,,2975.5,1866.2,1109.2,7521.36,900789.3
510000000000,四川省,2019,,217.05,,426826.73,5864.0,,2811.7,1830.7,981.1,7277.7,584026.21
510000000000,四川省,2018,,144.59,23.98,354133.19,5400.5,,2624.5,1772.6,851.9,7332.03,355855.9
510000000000,四川省,2017,,118.38,23.35,299900.31,4702.8,7.7,2167.5,1430.3,737.2,6898.54,103502.45
510000000000,四川省,2016,3575.0,138.09,19.64,287497.32,3709.6,7.7,1851.2,1271.4,579.9,6358.42,36177.57
520000000000,贵州省,2025,,,,,,,,,,,
520000000000,贵州省,2024,,183.55,,15207.09,2794.1,,1701.1,1147.0,554.1,4357.5,1058163.01
520000000000,贵州省,2023,,175.2,,14834.9,2622.4,,1568.3,1055.8,512.5,4167.2,954356.9
520000000000,贵州省,2022,,181.16,,13853.0,2386.4,,1384.1,953.4,430.7,4013.17,884710.2
520000000000,贵州省,2021,,230.26,,12663.76,2045.1,,1187.4,815.2,372.2,3811.02,739174.82
520000000000,贵州省,2020,,110.07,,11949.14,1744.5,,1002.4,778.1,224.3,3597.39,638806.96
520000000000,贵州省,2019,,119.93,,25034.38,1759.9,,892.9,715.6,177.2,3520.08,461004.41
520000000000,贵州省,2018,,39.8,2.23,15726.21,1535.4,,732.0,568.0,164.1,3323.1,250673.17
520000000000,贵州省,2017,,25.47,1.97,17166.73,1325.6,,568.6,436.7,131.9,2938.47,84612.3
520000000000,贵州省,2016,1524.0,18.81,1.55,18057.64,1113.9,,459.4,361.5,97.9,2528.71,20948.91
530000000000,云南省,2025,,,,,,,,,,,
530000000000,云南省,2024,,34.9,,188727.23,3422.5,,1904.4,1288.5,615.9,4640.3,1217485.74
530000000000,云南省,2023,,27.3,,185706.2,3142.2,,1778.3,1197.6,580.7,4497.4,1118034.5
530000000000,云南省,2022,,34.09,,181286.37,2655.4,,1627.2,1105.4,521.8,4275.14,1022190.66
530000000000,云南省,2021,,42.57,,177664.51,2431.9,,1451.9,989.4,462.6,4063.24,899984.87
530000000000,云南省,2020,,89.87,,172690.3,2218.0,,1278.1,874.1,404.0,3945.4,712404.12
530000000000,云南省,2019,,99.0,,173380.52,2091.1,,1156.1,783.9,372.2,3829.35,493657.56
530000000000,云南省,2018,,46.62,2.91,175784.11,1962.6,,1019.4,713.6,305.9,3918.88,280875.09
530000000000,云南省,2017,,23.34,2.67,177203.91,1661.8,5.6,812.6,694.2,118.3,3680.47,116314.69
530000000000,云南省,2016,1892.0,27.52,2.24,156350.97,1674.4,5.7,655.3,560.3,95.0,3302.06,36456.98
540000000000,西藏自治区,2025,,,,,,,,,,,
540000000000,西藏自治区,2024,,1.0,,948.73,331.0,,159.2,131.2,28.0,331.4,121743.36
540000000000,西藏自治区,2023,,1.2,,537.7,311.9,,145.5,120.5,25.0,317.8,99386.9
540000000000,西藏自治区,2022,,1.35,,421.74,284.8,,130.3,104.4,25.9,301.08,93875.35
540000000000,西藏自治区,2021,,1.34,,379.37,254.2,,115.3,78.2,37.2,299.8,77993.9
540000000000,西藏自治区,2020,,1.62,,350.7,219.0,,96.3,71.6,24.8,279.11,56444.15
540000000000,西藏自治区,2019,,2.01,,382.77,209.1,,91.4,75.3,16.1,267.34,34381.28
540000000000,西藏自治区,2018,,1.2,0.15,459.18,194.3,,78.2,66.1,12.1,260.23,10618.37
540000000000,西藏自治区,2017,,1.79,0.15,380.18,154.6,,61.2,55.3,5.9,198.67,2420.17
540000000000,西藏自治区,2016,149.0,1.05,0.12,491.54,107.2,,40.2,35.8,4.3,176.22,1149.19
610000000000,陕西省,2025,,,,,,,,,,,
610000000000,陕西省,2024,,50.15,,208402.39,3397.1,,2029.0,1423.6,605.5,4483.0,988281.45
